"Name","State","Notes","User","Tags","Created","Runtime","Sweep","accuracy_mean","accuracy_std","accuracy_train_mean","accuracy_train_std","macro_mean","macro_std","micro_mean","micro_std","n_units","macro_train_mean","macro_train_std","micro_train_mean","micro_train_std"
"KNN_order2023-June-13_10-25-41_AMdairydb","finished","-","mohammadsaleh-refahi","2023-June-13_10-25-41_AM, dairydb, order","2023-06-18T21:26:14.000Z","5","","0.761421636322112","0.003947968767491831","0.874780137941328","0.0005780531717770198","0.43785262427736543","0.005976532932420299","0.761421636322112","0.003947968767491854","2","","","",""
"KNN_family2023-May-31_09-28-13_AMits","finished","-","mohammadsaleh-refahi","2023-May-31_09-28-13_AM, family, its","2023-06-19T17:04:54.000Z","9","","0.7598240547417721","0.004146032651625271","0.8672953633587394","0.0009140829639051686","0.5121593329564866","0.008924411710470858","0.7598240547417721","0.004146032651625286","2","","","",""
"DNN_phylum2023-June-16_17-01-25_PMdairydb","finished","-","mohammadsaleh-refahi","2023-June-16_17-01-25_PM, dairydb, phylum","2023-06-18T22:11:11.000Z","6","","0.759698705179283","0.006627307812372909","6.801718127490041","0.016379201192205626","0.11238216643054696","0.0032718395378212597","0.7609302905599202","0.006638051670904001","1","","","",""
"KNN_phylum2023-June-13_10-01-42_AMdairydb","finished","-","mohammadsaleh-refahi","2023-June-13_10-01-42_AM, dairydb, phylum","2023-06-18T21:06:00.000Z","6","","0.7593465519391446","0.003768779947985057","0.867894306577434","0.0004942061495384042","0.3360978697561113","0.02648441247080616","0.7593465519391446","0.003768779947985057","2","","","",""
"KNN_family2023-June-05_17-50-22_PMits","finished","-","mohammadsaleh-refahi","2023-June-05_17-50-22_PM, family, its","2023-06-19T17:06:18.000Z","6","","0.7585206359383534","0.004857046926637286","0.8659681723697567","0.0008935591278220658","0.5010689833684392","0.008559412110993215","0.7585206359383534","0.004857046926637324","2","","","",""
"KNN_order2023-March-07_11-23_AMits","finished","-","mohammadsaleh-refahi","2023-March-07_11-23_AM, its, order","2023-06-19T19:48:17.000Z","6","","0.7574179164977706","0.005453020664288393","0.8615164617394045","0.0005587599725083494","0.43426391484122606","0.016164328704151763","0.7574179164977705","0.005453020664288364","2","","","",""
"DNN_order2023-June-12_23-11-15_PMits","finished","-","mohammadsaleh-refahi","2023-June-12_23-11-15_PM, its, order","2023-06-19T17:58:35.000Z","5","","0.7573790322580646","0.00777410570824422","7.134375","0.015345708881879845","0.36767372864746983","0.012145520594380654","0.7613700851236319","0.007815071810476554","1","","","",""
"KNN_order2023-June-16_17-01-25_PMits","finished","-","mohammadsaleh-refahi","2023-June-16_17-01-25_PM, its, order","2023-06-19T18:48:09.000Z","5","","0.7573165788406973","0.004090026004129346","0.8591924514705219","0.000584817481330756","0.4245386992877702","0.009694297859046864","0.7573165788406973","0.004090026004129323","2","","","",""
"KNN_3order_28s","finished","-","mohammadsaleh-refahi","28s, 3, order","2023-06-15T20:10:24.000Z","5","","0.7561833125586925","0.0008028089716901055","0.8181222218182904","0.0033716591776302707","0.33166671382719015","0.0001280860399179573","0.7561833125586925","0.000802808971690161","2","0.4941206730261658","0.0197576882868353","0.8181222218182904","0.003371659177630326"
"DNN_order2023-May-15_09-42-12_AMits","finished","-","mohammadsaleh-refahi","2023-May-15_09-42-12_AM, its, order","2023-06-19T16:45:44.000Z","5","","0.7555645161290322","0.007089324352226529","7.161209677419356","0.029025424823079574","0.37707304137546493","0.020031401455462627","0.7595460072963113","0.007126681959271064","1","","","",""
"DNN_order2023-June-13_05-27-34_AMits","finished","-","mohammadsaleh-refahi","2023-June-13_05-27-34_AM, its, order","2023-06-19T17:59:27.000Z","5","","0.7539314516129032","0.008311857190374125","7.11858870967742","0.01899420402861196","0.36230792889603025","0.015452701803198394","0.7579043372517228","0.008355657005321374","1","","","",""
"KNN_order2023-May-15_09-42-12_AMdairydb","finished","-","mohammadsaleh-refahi","2023-May-15_09-42-12_AM, dairydb, order","2023-06-18T16:33:44.000Z","6","","0.7530809144902203","0.0038615213687212143","0.8703536725420253","0.0005050705677558154","0.4324217507879018","0.009133247584160802","0.7530809144902204","0.0038615213687212303","2","","","",""
"KNN_order2023-June-13_19-50-01_PMdairydb","finished","-","mohammadsaleh-refahi","2023-June-13_19-50-01_PM, dairydb, order","2023-06-18T21:50:53.000Z","5","","0.7525548419945716","0.004149682203821592","0.8688647325995908","0.00042344308491044057","0.42657564972523304","0.010338734685013631","0.7525548419945716","0.004149682203821624","2","","","",""
"KNN_3order_dairydb","finished","-","mohammadsaleh-refahi","3, dairydb, order","2023-06-15T20:12:36.000Z","6","","0.7519912834385332","0.0003130948802724798","0.8420248472096984","0.0005009518084360121","0.38918915654183855","0.002360090531072112","0.7519912834385333","0.00031309488027242427","2","0.5852078899978195","0.00025396220467649444","0.8420248472096984","0.0005009518084360121"
"DNN_phylum2023-June-06_14-55-31_PMdairydb","finished","-","mohammadsaleh-refahi","2023-June-06_14-55-31_PM, dairydb, phylum","2023-06-18T17:44:49.000Z","5","","0.7516309760956176","0.005327303340376136","6.875871513944223","0.012924722035978472","0.2593344874581426","0.01804345832608439","0.7528494824791122","0.00533593969695741","1","","","",""
"KNN_family2023-June-12_00-04-43_AMits","finished","-","mohammadsaleh-refahi","2023-June-12_00-04-43_AM, family, its","2023-06-19T17:41:21.000Z","5","","0.7504862332699478","0.00430123806782876","0.8590758125797736","0.0007766117369253698","0.4918489753547536","0.013364595301649108","0.7504862332699478","0.004301238067828762","2","","","",""
"KNN_order2023-June-12_23-11-15_PMits","finished","-","mohammadsaleh-refahi","2023-June-12_23-11-15_PM, its, order","2023-06-19T17:58:42.000Z","6","","0.7503242805026349","0.004956602885871036","0.8571341710579652","0.0005979716893813091","0.40372375258856347","0.02119680320485609","0.7503242805026348","0.004956602885871049","2","","","",""
"KNN_phylum2023-May-18_15-44-40_PMdairydb","finished","-","mohammadsaleh-refahi","2023-May-18_15-44-40_PM, dairydb, phylum","2023-06-18T16:20:01.000Z","134","","0.7489337822671156","0.004090608724410704","0.8615385681229302","0.0006076586211743283","0.3378493567068722","0.02027532512627688","0.7489337822671156","0.00409060872441072","2","","","",""
"DNN_order2023-June-13_00-13-55_AMits","finished","-","mohammadsaleh-refahi","2023-June-13_00-13-55_AM, its, order","2023-06-19T18:03:04.000Z","134","","0.7448185483870968","0.004231037838576618","7.686028225806451","0.011999287965564384","0.371585977936207","0.014682228705078909","0.7487434130522901","0.004253333538577242","1","","","",""
"DNN_order2023-June-12_21-54-57_PMits","finished","-","mohammadsaleh-refahi","2023-June-12_21-54-57_PM, its, order","2023-06-19T17:59:11.000Z","5","","0.7444959677419355","0.0034286643848734704","7.647217741935483","0.013477577536556809","0.3679092906143667","0.011901193829050735","0.7484191325496554","0.0034467319312874653","1","","","",""
"KNN_phylum2023-March-31_14-46_PMdairydb","finished","-","mohammadsaleh-refahi","2023-March-31_14-46_PM, dairydb, phylum","2023-06-18T18:38:01.000Z","6","","0.7414640229455044","0.006245856946199854","0.8565379446037882","0.0009552550818619248","0.3158860592245473","0.014931473181040983","0.7414640229455044","0.006245856946199876","2","","","",""
"DNN_order2023-May-18_18-05-26_PMits","finished","-","mohammadsaleh-refahi","2023-May-18_18-05-26_PM, its, order","2023-06-19T16:46:33.000Z","6","","0.7412298387096774","0.007250920543302462","7.04491935483871","0.02860741460068124","0.38139601954924635","0.01460795292241004","0.7451357924604782","0.007289129690875654","1","","","",""
"KNN_order2023-May-18_18-05-26_PMits","finished","-","mohammadsaleh-refahi","2023-May-18_18-05-26_PM, its, order","2023-06-19T16:46:40.000Z","6","","0.740129712201054","0.007189576468136423","0.8481579065891995","0.0007209786371333749","0.4013238957482737","0.012304747428473956","0.740129712201054","0.007189576468136424","2","","","",""
"KNN_order2023-March-07_11-23_AMdairydb","finished","-","mohammadsaleh-refahi","2023-March-07_11-23_AM, dairydb, order","2023-06-18T18:15:46.000Z","5","","0.7389916495483139","0.003554414569734885","0.8626056180092043","0.0006083546383149463","0.4228086831627173","0.011591278362328572","0.7389916495483139","0.00355441456973493","2","","","",""
"KNN_family2023-June-16_16-59-42_PMits","finished","-","mohammadsaleh-refahi","2023-June-16_16-59-42_PM, family, its","2023-06-19T18:39:32.000Z","6","","0.7364047398541949","0.005133206890305888","0.8515471604365571","0.0005719585749932737","0.4811870590231436","0.01251764046327962","0.7364047398541949","0.005133206890305905","2","","","",""
"KNN_family2023-June-15_20-20-12_PMits","finished","-","mohammadsaleh-refahi","2023-June-15_20-20-12_PM, family, its","2023-06-19T18:35:36.000Z","5","","0.7360843001006498","0.0056609813206293805","0.8508989985345865","0.0007430539070022479","0.47391854481963974","0.019124164506113383","0.7360843001006498","0.005660981320629368","2","","","",""
"KNN_family2023-April-14_22-10_PMits","finished","-","mohammadsaleh-refahi","2023-April-14_22-10_PM, family, its","2023-06-19T17:22:35.000Z","11","","0.7356782578277555","0.0048233730683430445","0.8516516254526614","0.0007948116235764116","0.4706102608045514","0.011627424371876863","0.7356782578277555","0.004823373068343037","2","","","",""
"KNN_order2023-June-12_23-11-15_PMdairydb","finished","-","mohammadsaleh-refahi","2023-June-12_23-11-15_PM, dairydb, order","2023-06-18T20:20:00.000Z","5","","0.7353221424062903","0.004708934189212886","0.8607173085323339","0.0006912822504510006","0.4006446199274277","0.008193390158034214","0.7353221424062903","0.004708934189212892","2","","","",""
"DNN_order2023-June-13_19-49-43_PMdairydb","finished","-","mohammadsaleh-refahi","2023-June-13_19-49-43_PM, dairydb, order","2023-06-18T21:42:09.000Z","5","","0.734525","0.009632756614801412","6.9043125000000005","0.02249272451816363","0.3270340314676474","0.010713998467290174","0.7359233385368107","0.00965739937244008","1","","","",""
"RF_3order_its","finished","-","mohammadsaleh-refahi","3, its, order","2023-06-15T20:10:47.000Z","6","","0.734414268342116","0.001783542764491275","0.9993717065261452","0.00014187271990268036","0.3479843653853526","0.003984291577182414","0.734414268342116","0.0017835427644912194","1","0.999387506902971","0.0002240519501774396","0.9993717065261452","0.00014187271990268036"
"KNN_family2023-June-13_05-27-10_AMits","finished","-","mohammadsaleh-refahi","2023-June-13_05-27-10_AM, family, its","2023-06-19T18:15:20.000Z","5","","0.7339901368726973","0.004761663297609202","0.8511435445408633","0.0004124363032611016","0.4811552422609222","0.01279405828735846","0.7339901368726973","0.004761663297609189","2","","","",""
"DNN_order2023-June-15_20-20-12_PMdairydb","finished","-","mohammadsaleh-refahi","2023-June-15_20-20-12_PM, dairydb, order","2023-06-18T22:00:15.000Z","6","","0.7333125","0.005431749833156908","6.800375","0.027572574689353927","0.32915844286186297","0.010777208784043736","0.7347084965171419","0.005448815851747363","1","","","",""
"KNN_order2023-June-13_05-27-34_AMits","finished","-","mohammadsaleh-refahi","2023-June-13_05-27-34_AM, its, order","2023-06-19T17:59:34.000Z","5","","0.7328131333603567","0.005696618673807106","0.8464802053776517","0.0006318148859457993","0.38579508009655605","0.01805096631045672","0.7328131333603567","0.005696618673807136","2","","","",""
